,date,year,quarter,month,month_name,month_abbreviation,year_month,day,day_of_week,day_name,day_abbreviation,week,is_weekend,fiscal_year,fiscal_quarter,fiscal_month,is_last_day_of_month,is_last_day_of_quarter,is_last_day_of_year
190,2021-07-10 00:00:00.0000000,2021,3,7,July,Jul,202107,10,7,Saturday,Sat,27,True,2021,3,7,False,False,False
191,2021-07-11 00:00:00.0000000,2021,3,7,July,Jul,202107,11,8,Sunday,Sun,27,True,2021,3,7,False,False,False
192,2021-07-12 00:00:00.0000000,2021,3,7,July,Jul,202107,12,2,Monday,Mon,28,False,2021,3,7,False,False,False
193,2021-07-13 00:00:00.0000000,2021,3,7,July,Jul,202107,13,3,Tuesday,Tue,28,False,2021,3,7,False,False,False
194,2021-07-14 00:00:00.0000000,2021,3,7,July,Jul,202107,14,4,Wednesday,Wed,28,False,2021,3,7,False,False,False
195,2021-07-15 00:00:00.0000000,2021,3,7,July,Jul,202107,15,5,Thursday,Thu,28,False,2021,3,7,False,False,False
196,2021-07-16 00:00:00.0000000,2021,3,7,July,Jul,202107,16,6,Friday,Fri,28,False,2021,3,7,False,False,False
197,2021-07-17 00:00:00.0000000,2021,3,7,July,Jul,202107,17,7,Saturday,Sat,28,True,2021,3,7,False,False,False
198,2021-07-18 00:00:00.0000000,2021,3,7,July,Jul,202107,18,8,Sunday,Sun,28,True,2021,3,7,False,False,False
199,2021-07-19 00:00:00.0000000,2021,3,7,July,Jul,202107,19,2,Monday,Mon,29,False,2021,3,7,False,False,False
200,2021-07-20 00:00:00.0000000,2021,3,7,July,Jul,202107,20,3,Tuesday,Tue,29,False,2021,3,7,False,False,False
201,2021-07-21 00:00:00.0000000,2021,3,7,July,Jul,202107,21,4,Wednesday,Wed,29,False,2021,3,7,False,False,False
202,2021-07-22 00:00:00.0000000,2021,3,7,July,Jul,202107,22,5,Thursday,Thu,29,False,2021,3,7,False,False,False
203,2021-07-23 00:00:00.0000000,2021,3,7,July,Jul,202107,23,6,Friday,Fri,29,False,2021,3,7,False,False,False
204,2021-07-24 00:00:00.0000000,2021,3,7,July,Jul,202107,24,7,Saturday,Sat,29,True,2021,3,7,False,False,False
205,2021-07-25 00:00:00.0000000,2021,3,7,July,Jul,202107,25,8,Sunday,Sun,29,True,2021,3,7,False,False,False
